step,neg_log_likelihood
0,1584.0994873046875
1,1474.24658203125
2,1376.13623046875
3,1288.15478515625
4,1212.3533935546875
5,1153.235107421875
6,1104.6865234375
7,1064.7144775390625
8,1031.374267578125
9,1008.2525634765625
10,991.665771484375
11,976.084228515625
12,961.0004272460938
13,943.9862670898438
14,928.7826538085938
15,914.519775390625
16,901.8118286132812
17,889.9027099609375
18,878.5364990234375
19,867.5658569335938
20,858.5604248046875
21,858.5604248046875
22,858.098388671875
23,857.5662231445312
24,857.0250854492188
25,856.4764404296875
26,855.9262084960938
27,855.3786010742188
28,854.8362426757812
29,854.401611328125
30,853.9146118164062
31,853.4008178710938
32,852.87109375
33,852.37158203125
34,851.9130859375
35,851.4529418945312
36,850.9940795898438
37,850.5372924804688
38,850.0833129882812
39,849.6322021484375
40,849.18505859375
41,848.7420654296875
42,848.31103515625
43,847.9009399414062
44,847.4773559570312
45,847.07421875
46,846.673583984375
47,846.287109375
48,845.89306640625
49,845.5127563476562
50,845.1365966796875
51,844.7711791992188
52,844.4091186523438
53,844.0494384765625
54,843.692138671875
55,843.3497314453125
56,843.0006103515625
57,842.6678466796875
58,842.3402709960938
59,842.0135498046875
60,841.6885986328125
61,841.3653564453125
62,841.0438232421875
63,840.7294921875
64,840.4203491210938
65,840.1214599609375
66,839.8261108398438
67,839.5311279296875
68,839.2362060546875
69,838.9424438476562
70,838.6494750976562
71,838.3866577148438
72,838.1063232421875
73,837.8088989257812
74,837.5466918945312
75,837.2845458984375
76,837.0211791992188
77,836.756591796875
78,836.4912719726562
79,836.2251586914062
80,835.95849609375
81,835.6917114257812
82,835.4247436523438
83,835.176025390625
84,834.928955078125
85,834.6624755859375
86,834.4172973632812
87,834.177001953125
88,833.9339599609375
89,833.6890869140625
90,833.4421997070312
91,833.1937866210938
92,832.94384765625
93,832.6926879882812
94,832.4699096679688
95,832.2352905273438
96,831.97998046875
97,831.74169921875
98,831.5140991210938
99,831.2830810546875
100,831.0494995117188
101,830.8129272460938
102,830.57421875
103,830.3331298828125
104,830.0902709960938
105,829.8784790039062
106,829.6522216796875
107,829.4048461914062
108,829.170654296875
109,828.950439453125
110,828.726318359375
111,828.4987182617188
112,828.2681884765625
113,828.0347900390625
114,827.798583984375
115,827.5625
116,827.33740234375
117,827.1142578125
118,826.8922119140625
119,826.66650390625
120,826.4371337890625
121,826.2049560546875
