leaf,tape,target,non-target
36,0,6;1;3;1;6;0,6;1;3;1;6
37,0,6;1;3;4,6;1;3
78,0,6;9;3;6;8;9,6;9;3;6;8
79,0,6;9;3;6;7,6;9;3;6
89,0,6;4;2;8;5;1,6;4;2;8;5
94,0,8;1;7;3;3;2;8;0,8;1;7;3;3;2;8
100,0,8;1;8;1;3;8,8;1;8;1;3
102,0,8;1;8;2;1,8;1;8;2
103,0,8;1;8;8,8;1;8
105,0,8;1;5;1;3,8;1;5;1
127,0,6;1;2;1;6;3;0;2,6;1;2;1;6;3;0;2
137,0,6;1;2;8;1;6;5,6;1;2;8;1;6
140,0,6;1;7;6;4;4;4,6;1;7;6;4;4
141,0,6;1;7;6;4;6,6;1;7;6;4
143,0,6;1;7;7,6;1;7
146,0,6;1;2;0,6;1;2
150,0,6;9;3;6;8;7;6;2,6;9;3;6;8;7;6
152,0,6;9;3;6;8;8;8;3,6;9;3;6;8;8;8;3
153,0,6;9;3;6;8;8;8;8,6;9;3;6;8;8;8
162,0,6;4;8;5;7;6,6;4;8;5;7
163,0,6;4;8;5;7,6;4;8;5
165,0,6;4;8;5;5,6;4;8;5
166,0,6;4;8;2;2;6,6;4;8;2;2
167,0,6;4;8;2;2,6;4;8;2
168,0,6;4;2;8;5;4;6;0,6;4;2;8;5;4;6
169,0,6;4;2;8;5;4;2,6;4;2;8;5;4
171,0,6;4;4;3;4;7,6;4;4;3;4
178,0,8;1;7;3;3;2;1;3,8;1;7;3;3;2;1
179,0,8;1;7;3;3;2;3,8;1;7;3;3;2
188,0,8;1;8;1;2;8,8;1;8;1;2
189,0,8;1;8;1;5,8;1;8;1
190,0,8;1;5;1;6;3;9;6,8;1;5;1;6;3;9
200,0,2;6;5;9;5;7;0,2;6;5;9;5;7
201,0,2;6;5;9;5;2,2;6;5;9;5
202,0,2;6;4;5;4,2;6;4;5
203,0,2;6;4;9,2;6;4
204,0,2;2;9;2;2,2;2;9;2
211,0,2;1;2,2;1
224,0,4;1;4,4;1
226,0,1;5;5,1;5
228,0,6;1;2;1;6;2;8;0,6;1;2;1;6;2;8;0
229,0,6;1;2;1;6;2;8;4,6;1;2;1;6;2;8;4
230,0,6;1;2;1;6;2;5;8,6;1;2;1;6;2;5
231,0,6;1;2;1;6;2;4;8,6;1;2;1;6;2;4;8
232,0,6;1;2;1;6;3;0;2,6;1;2;1;6;3;0;2
235,0,6;1;2;1;2;3;9;7,6;1;2;1;2;3;9
242,0,6;1;2;8;9;1;1;7,6;1;2;8;9;1;1;7
243,0,6;1;2;8;9;1;1;7,6;1;2;8;9;1;1;7
244,0,6;1;2;8;9;1;1;5,6;1;2;8;9;1;1;5
245,0,6;1;2;8;9;1;1;5,6;1;2;8;9;1;1;5
253,0,6;1;2;8;8;0;7;4,6;1;2;8;8;0;7
255,0,6;1;2;8;9,6;1;2;8
256,0,6;1;7;3;0;0,6;1;7;3;0
257,0,6;1;7;3;3,6;1;7;3
258,0,6;1;8;2;9;2,6;1;8;2;9
260,0,6;1;8;5;4;9;3,6;1;8;5;4;9
261,0,6;1;8;5;4;6,6;1;8;5;4
264,0,6;9;3;6;8;9;4;8,6;9;3;6;8;9;4;8
265,0,6;9;3;6;8;9;4;0,6;9;3;6;8;9;4
267,0,6;9;3;6;8;9;2,6;9;3;6;8;9
268,0,6;9;3;6;8;4;1,6;9;3;6;8;4
269,0,6;9;3;6;8;6,6;9;3;6;8
274,0,6;9;3;1;9;6;0;8,6;9;3;1;9;6;0
275,0,6;9;3;1;9;6;7;3,6;9;3;1;9;6;7
280,0,6;9;3;8;9;8,6;9;3;8;9
282,0,6;4;8;5;2;8;0;5,6;4;8;5;2;8;0
283,0,6;4;8;5;2;8;6;9,6;4;8;5;2;8;6
284,0,6;4;8;5;2;0;6,6;4;8;5;2;0
285,0,6;4;8;5;2;3,6;4;8;5;2
286,0,6;4;8;5;2;1;4,6;4;8;5;2;1
288,0,6;4;4;3;8;2;0;8,6;4;4;3;8;2;0
289,0,6;4;4;3;8;6,6;4;4;3;8
295,0,8;1;7;3;3;2;7;7,8;1;7;3;3;2;7;7
296,0,8;1;7;3;3;2;7;7,8;1;7;3;3;2;7;7
302,0,8;1;7;4;6;5;5;1,8;1;7;4;6;5;5
307,0,8;1;7;4;9;5;6;8,8;1;7;4;9;5;6
310,0,8;1;7;4;2;7;8;2,8;1;7;4;2;7;8;2
312,0,8;1;7;4;2;7;8;6,8;1;7;4;2;7;8;6
314,0,8;1;7;4;2;5;1;7,8;1;7;4;2;5;1;7
316,0,8;1;7;4;2;4;0,8;1;7;4;2;4
317,0,8;1;7;4;2;5,8;1;7;4;2
318,0,8;1;5;1;6;9;5,8;1;5;1;6;9
320,0,8;1;0;2;5;6,8;1;0;2;5
321,0,8;1;0;2;1,8;1;0;2
322,0,8;1;0;3;2,8;1;0;3
323,0,8;1;0;0,8;1;0
324,0,8;1;6;0;6;7,8;1;6;0;6
325,0,8;1;6;0;1;1,8;1;6;0;1
326,0,8;1;3;9,8;1;3
327,0,8;1;6,8;1
342,0,2;7;3;3;0;0,2;7;3;3;0
343,0,2;7;3;3;3,2;7;3;3
356,0,0;5;4;4;8;5;3,0;5;4;4;8;5
358,0,0;5;4;4;5;5,0;5;4;4;5
360,0,0;5;4;4;0;8;0;6,0;5;4;4;0;8;0;6
361,0,0;5;4;4;0;8;0;9,0;5;4;4;0;8;0
366,0,8;3;4;1;3,8;3;4;1
367,0,8;3;4;2,8;3;4
373,0,4;5,4
374,0,3;9;7,3;9
375,0,3;7,3
376,0,6;1;2;1;6;3;0;2,6;1;2;1;6;3;0;2
377,0,6;1;2;1;6;3;0;2,6;1;2;1;6;3;0;2
378,0,6;1;2;1;2;3;8;1,6;1;2;1;2;3;8;1
379,0,6;1;2;1;2;3;8;4,6;1;2;1;2;3;8
380,0,6;1;2;1;2;1;5;4,6;1;2;1;2;1;5
386,0,6;1;2;1;2;4;8;7,6;1;2;1;2;4;8;7
387,0,6;1;2;1;2;4;7,6;1;2;1;2;4
388,0,6;1;2;1;0;6;7;5,6;1;2;1;0;6;7
389,0,6;1;2;1;0;4;2,6;1;2;1;0;4
390,0,6;1;2;1;8;4,6;1;2;1;8
392,0,6;1;2;8;9;2;7;6,6;1;2;8;9;2;7;6
393,0,6;1;2;8;9;2;7;1,6;1;2;8;9;2;7
394,0,6;1;2;8;9;2;8;3,6;1;2;8;9;2;8
395,0,6;1;2;8;9;2;6,6;1;2;8;9;2
396,0,6;1;2;8;9;7;3;6,6;1;2;8;9;7;3
400,0,6;1;2;8;1;6;0;5,6;1;2;8;1;6;0;5
401,0,6;1;2;8;1;6;0;5,6;1;2;8;1;6;0;5
402,0,6;1;2;8;1;6;0;6,6;1;2;8;1;6;0;6
404,0,6;1;2;8;8;0;7;6,6;1;2;8;8;0;7;6
405,0,6;1;2;8;8;0;7;1,6;1;2;8;8;0;7
408,0,6;1;8;2;9;2,6;1;8;2;9
409,0,6;1;8;2;9,6;1;8;2
413,0,6;1;3,6;1
414,0,6;9;3;6;8;9;5;2,6;9;3;6;8;9;5;2
418,0,6;9;3;6;8;2;9;7,6;9;3;6;8;2;9;7
