leaf,tape,target,non-target
40,0,4;7;6;6;4,4;7;6;6
109,0,2;6;4;0;5;6,2;6;4;0;5
145,0,4;7;6;8;5,4;7;6;8
204,0,2;6;4;0;5;5;2;7,2;6;4;0;5;5;2
236,0,4;7;7;4;9;0;7;9,4;7;7;4;9;0;7
283,0,4;7;7;2;7,4;7;7;2
288,0,4;0;2;3;5;5;7,4;0;2;3;5;5
297,0,4;5;5,4;5
299,0,4;8;0,4;8
321,0,3;0;9;3;6,3;0;9;3
325,0,3;0;1,3;0
350,0,2;6;4;3;6;4;7;0,2;6;4;3;6;4;7;0
363,0,6;7;7;4;2,6;7;7;4
375,0,4;7;7;4;0;5;4;0,4;7;7;4;0;5;4
377,0,4;7;7;4;0;5;7,4;7;7;4;0;5
388,0,4;7;7;4;6;2;6;0,4;7;7;4;6;2;6;0
389,0,4;7;7;4;6;2;9,4;7;7;4;6;2
402,0,4;7;7;5;0;6;7,4;7;7;5;0;6
415,0,4;7;7;6;5;7;7,4;7;7;6;5;7
427,0,4;7;6;3;2,4;7;6;3
443,0,4;7;7;1;5;6;6,4;7;7;1;5;6
447,0,4;0;2;8;3;9,4;0;2;8;3;9
456,0,4;5;9;7;3,4;5;9;7
465,0,3;0;6;7;8;9,3;0;6;7;8
469,0,3;0;6;3;9;4;8;6,3;0;6;3;9;4;8;6
470,0,3;0;6;7;9;3;8,3;0;6;7;9;3
476,0,3;0;6;2;4,3;0;6;2
516,0,3;7;9;4;2;2;0,3;7;9;4;2;2
560,0,4;7;7;4;0;6;0;4,4;7;7;4;0;6;0
595,0,4;7;7;6;5;7;2;3,4;7;7;6;5;7;2;3
603,0,4;7;9;8;5;0;2,4;7;9;8;5;0
607,0,4;7;9;8;3;0;2;3,4;7;9;8;3;0;2
614,0,4;7;7;1;6;0;3;1,4;7;7;1;6;0;3;1
629,0,3;0;6;9,3;0;6
632,0,3;0;9;4;8;2;9,3;0;9;4;8;2
642,0,3;1;8;2;6;2;4,3;1;8;2;6;2
650,0,3;1;8;2;1;2;8,3;1;8;2;1;2
698,0,3;2;2;4;0;0,3;2;2;4;0
707,0,3;0;8;7;8;6,3;0;8;7;8
710,0,4;7;7;4;0;4;5;3,4;7;7;4;0;4;5;3
713,0,4;7;7;4;0;4;5;2,4;7;7;4;0;4;5;2
717,0,4;7;7;4;0;4;8;7,4;7;7;4;0;4;8
720,0,4;7;7;4;0;6;0;8,4;7;7;4;0;6;0;8
721,0,4;7;7;4;0;6;0;9,4;7;7;4;0;6;0
736,0,4;7;7;5;0;6;4;9,4;7;7;5;0;6;4
746,0,4;7;7;9;8;2;9;9,4;7;7;9;8;2;9
751,0,4;7;7;9;3,4;7;7;9
752,0,4;7;7;6;6;9;7,4;7;7;6;6;9
763,0,4;7;6;6;7,4;7;6;6
800,0,3;1;8;1;1;0;7;3,3;1;8;1;1;0;7
801,0,3;1;8;1;1;0;8,3;1;8;1;1;0
803,0,3;1;8;1;1;2,3;1;8;1;1
835,0,3;7;1;2;1,3;7;1;2
842,0,3;7;9;3;3;0;6;3,3;7;9;3;3;0;6
852,0,3;2;2;4;2;1,3;2;2;4;2
866,0,4;7;7;4;0;4;5;0,4;7;7;4;0;4;5;0
868,0,4;7;7;4;0;6;0;9,4;7;7;4;0;6;0;9
872,0,4;7;7;4;0;6;0;2,4;7;7;4;0;6;0;2
878,0,4;7;7;5;0;6;5;9,4;7;7;5;0;6;5
881,0,4;7;7;5;0;1;6,4;7;7;5;0;1
884,0,4;7;7;5;7;8;8;4,4;7;7;5;7;8;8;4
891,0,4;7;7;5;4;6;1,4;7;7;5;4;6
906,0,3;0;6;7;8;8;9;4,3;0;6;7;8;8;9;4
914,0,3;1;8;2;5;6;1;2,3;1;8;2;5;6;1;2
917,0,3;1;8;2;7;1;0,3;1;8;2;7;1
922,0,3;1;8;2;1;9;8;9,3;1;8;2;1;9;8
944,0,3;1;8;1;1;9;5;6,3;1;8;1;1;9;5
952,0,3;7;9;5;2;7;5,3;7;9;5;2;7
990,0,4;7;7;5;0;1;2;2,4;7;7;5;0;1;2;2
991,0,4;7;7;5;0;1;2;6,4;7;7;5;0;1;2
995,0,4;7;7;6;9,4;7;7;6
1001,0,3;1;8;2;7;2;1,3;1;8;2;7;2
1009,0,3;1;8;4;3;4;2;5,3;1;8;4;3;4;2;5
1018,0,3;7;9;5;4;1;9;1,3;7;9;5;4;1;9
1024,0,3;7;9;4;7;9;1,3;7;9;4;7;9
1029,0,3;7;1;8;8;5;7;2,3;7;1;8;8;5;7;2
1041,0,4;7;7;4;0;6;0;9,4;7;7;4;0;6;0;9
