leaf,tape,target,non-target
262,0,4;8;2;3;6;6,4;8;2;3;6
267,0,4;8;7,4;8;7
269,0,4;8;4;3,4;8;4;3
283,0,4;8;3,4;8;3
284,0,4;8,4;8
298,0,4,4
316,0,4;4;2,4;4;2
333,0,4;9;4;2,4;9;4;2
334,0,4;9;4;0,4;9;4;0
339,0,4;9;4;6;0,4;9;4;6;0
340,0,4;9;4;6;9;0,4;9;4;6;9;0
351,0,4;9;4;9;4;7;7,4;9;4;9;4;7
366,0,4;9,4;9
371,0,4;9;3;8;5;2,4;9;3;8;5
399,0,2;9,2;9
400,0,2,2
427,0,2;9;1;3,2;9;1;3
433,0,2,2
449,0,8;3;9;5;9;4,8;3;9;5;9
460,0,8;5;3,8;5
464,0,8;5;6,8;5;6
469,0,8;1;7;0,8;1;7
490,0,6,
494,0,,
496,0,9;4,9
504,0,5;8,5
510,0,,
