leaf,tape,target,non-target
1024,0,9;0;8;9;2;3;0,9;0;8;9;2;3
1025,0,9;0;8;9;2;3;1,9;0;8;9;2;3
1026,0,9;0;8;9;2;3;7,9;0;8;9;2;3;7
1027,0,9;0;8;9;2;3,9;0;8;9;2;3
1028,0,9;0;8;9;2;3;4;0,9;0;8;9;2;3;4
1029,0,9;0;8;9;2;3;4;5,9;0;8;9;2;3;4;5
1030,0,9;0;8;9;2;3;4;9,9;0;8;9;2;3;4;9
1031,0,9;0;8;9;2;3;4;0,9;0;8;9;2;3;4
1032,0,9;0;8;9;2;1;2;3,9;0;8;9;2;1;2;3
1033,0,9;0;8;9;2;1;2,9;0;8;9;2;1;2
1034,0,9;0;8;9;2,9;0;8;9;2
1035,0,9;0;8;9;2,9;0;8;9;2
1036,0,9;0;8;9;2,9;0;8;9;2
1037,0,9;0;8;9;2;8,9;0;8;9;2
1038,0,9;0;8;9;2,9;0;8;9;2
1039,0,9;0;8;9;2,9;0;8;9;2
1040,0,9;0;8;9;2,9;0;8;9;2
1041,0,9;0;8;9;2,9;0;8;9;2
1042,0,9;0;8;9;2;6;5,9;0;8;9;2;6
1043,0,9;0;8;9;2;6,9;0;8;9;2;6
1044,0,9;0;8;9;2;5,9;0;8;9;2;5
1045,0,9;0;8;9;2;5;9,9;0;8;9;2;5;9
1046,0,9;0;8;9;2;5;3;2,9;0;8;9;2;5;3;2
1047,0,9;0;8;9;2;5;3,9;0;8;9;2;5;3
1048,0,9;0;8;9;2;9;2,9;0;8;9;2;9;2
1049,0,9;0;8;9;2;9;2;6,9;0;8;9;2;9;2
1050,0,9;0;8;9;2;9;2;7,9;0;8;9;2;9;2;7
1051,0,9;0;8;9;2;9;2;7,9;0;8;9;2;9;2;7
1052,0,9;0;8;9;2;9,9;0;8;9;2;9
1053,0,9;0;8;9;2;9;7;3,9;0;8;9;2;9;7
1054,0,9;0;8;9;2;9,9;0;8;9;2;9
1055,0,9;0;8;9;2;9;5;2,9;0;8;9;2;9;5
1056,0,9;0;8;9;2;3,9;0;8;9;2
1057,0,9;0;8;9;2;1,9;0;8;9;2
1058,0,9;0;8;9;2;2,9;0;8;9;2;2
1059,0,9;0;8;9;2;2;6,9;0;8;9;2;2
1060,0,9;0;8;9;2;7;0,9;0;8;9;2;7;0
1061,0,9;0;8;9;2;7;0;1,9;0;8;9;2;7;0
1062,0,9;0;8;9;2;7;9;7,9;0;8;9;2;7;9
1063,0,9;0;8;9;2;7;2;8,9;0;8;9;2;7;2;8
1064,0,9;0;8;9;2,9;0;8;9;2
1065,0,9;0;8;9;2,9;0;8;9;2
1066,0,9;0;8;9;2,9;0;8;9;2
1067,0,9;0;8;9;2;4,9;0;8;9;2
1068,0,9;0;8;9;2;7;5,9;0;8;9;2;7
1069,0,9;0;8;9;2;7;6,9;0;8;9;2;7
1070,0,9;0;8;9;2;7;6;6,9;0;8;9;2;7;6
1071,0,9;0;8;9;2;7;6,9;0;8;9;2;7;6
1072,0,9;0;8;9;2;3;9;5,9;0;8;9;2;3;9;5
1073,0,9;0;8;9;2;3;9;5,9;0;8;9;2;3;9;5
1074,0,9;0;8;9;2;3;9;5,9;0;8;9;2;3;9;5
1075,0,9;0;8;9;2;3;9;5,9;0;8;9;2;3;9;5
1076,0,9;0;8;9;2;3;9;5,9;0;8;9;2;3;9;5
1077,0,9;0;8;9;2;3;9;5,9;0;8;9;2;3;9;5
1078,0,9;0;8;9;2;3;9;5,9;0;8;9;2;3;9;5
1079,0,9;0;8;9;2;3;9;5,9;0;8;9;2;3;9;5
1080,0,9;0;8;9;2;3;9,9;0;8;9;2;3;9
1081,0,9;0;8;9;2;3;9,9;0;8;9;2;3;9
1082,0,9;0;8;9;2;3;9,9;0;8;9;2;3;9
1083,0,9;0;8;9;2;3;9;1,9;0;8;9;2;3;9;1
1084,0,9;0;8;9;2;3;9;6,9;0;8;9;2;3;9
1085,0,9;0;8;9;2;3;9;0,9;0;8;9;2;3;9;0
1086,0,9;0;8;9;2;3;9;0,9;0;8;9;2;3;9
