leaf,tape,target,non-target
13,0,7;3,7
24,0,7;8;3;2,7;8;3
26,0,9;2;2;0,9;2;2;0
27,0,9;2;2;9,9;2;2
31,0,6;2;0;0,6;2;0
37,0,6;8;8,6;8
40,0,6;5;6;4;4,6;5;6;4
41,0,6;5;6;4;5;8,6;5;6;4;5
42,0,6;5;7;3;0;0,6;5;7;3;0
43,0,6;5;7;3,6;5;7;3
45,0,6;5;1;8,6;5;1;8
47,0,7;8;2,7;8
52,0,6;2;0;2;1;6,6;2;0;2;1
53,0,6;2;0;2;2,6;2;0;2
58,0,6;1;3;6;5;5;2,6;1;3;6;5;5
59,0,6;1;3;6;5;5;9,6;1;3;6;5;5
62,0,6;8;5;6;5,6;8;5;6
63,0,6;8;5;0,6;8;5
64,0,6;5;6;4;2;5;3,6;5;6;4;2;5
65,0,6;5;6;4;2,6;5;6;4;2
66,0,6;5;6;4;3;5,6;5;6;4;3
70,0,7;8;4;2;4;1,7;8;4;2;4
71,0,7;8;4;2;5,7;8;4;2
76,0,9;0;4,9;0
79,0,9;9;9,9;9
81,0,6;2;2;7,6;2;2
86,0,6;2;6;1,6;2;6
87,0,6;2;8,6;2
88,0,6;1;3;6;2;0;7,6;1;3;6;2;0
89,0,6;1;3;6;2;8,6;1;3;6;2
90,0,6;1;3;6;2,6;1;3;6;2
92,0,6;5;6;4;1,6;5;6;4;1
93,0,6;5;6;4;5,6;5;6;4
94,0,6;5;1;1;0;1,6;5;1;1;0;1
95,0,6;5;1;1;0,6;5;1;1;0
96,0,6;5;1;1;5,6;5;1;1;5
97,0,6;5;1;1;5;2,6;5;1;1;5
101,0,9;7;9,9;7
102,0,9;0;7;6,9;0;7;6
104,0,9;5;0,9;5
105,0,9;0,9
106,0,9;5;2,9;5
107,0,9,9
108,0,9;0;9;3,9;0;9
115,0,6;2;2;2;6,6;2;2;2;6
116,0,6;2;8;1;7;3,6;2;8;1;7
117,0,6;2;8;1;5,6;2;8;1
119,0,6;2;8;5;4,6;2;8;5
120,0,6;1;3;6;2;8,6;1;3;6;2;8
121,0,6;1;3;6;2,6;1;3;6;2
125,0,9;7;3;0,9;7;3
126,0,9;7;1;9;8;0,9;7;1;9;8
127,0,9;7;1;9,9;7;1;9
128,0,9;0;5;1,9;0;5
130,0,9;0;9,9;0;9
131,0,9;0;9,9;0;9
132,0,6;2;2;1;8;7;1,6;2;2;1;8;7
134,0,6;2;2;1;8,6;2;2;1;8
135,0,6;2;2;1;0,6;2;2;1
137,0,6;2;2;9;2;9,6;2;2;9;2
139,0,6;2;2;9;2;8,6;2;2;9;2
140,0,6;2;2;2;4;5;5,6;2;2;2;4;5
141,0,6;2;2;2;4,6;2;2;2;4
142,0,6;2;8;5;8;7,6;2;8;5;8;7
143,0,6;2;8;5;8,6;2;8;5;8
144,0,9;7;3;6;5;7;8,9;7;3;6;5;7
145,0,9;7;3;6;5,9;7;3;6;5
146,0,9;7;3;6;8,9;7;3;6;8
147,0,9;7;3;6;4,9;7;3;6
149,0,9;7;3,9;7;3
150,0,9;0,9;0
151,0,9;0,9;0
152,0,6;2;2;1;8;0;3,6;2;2;1;8;0
153,0,6;2;2;1;8,6;2;2;1;8
154,0,6;2;2;9;2;2;6,6;2;2;9;2;2;6
155,0,6;2;2;9;2;2,6;2;2;9;2;2
157,0,6;2;2;9;2;4;8,6;2;2;9;2;4
158,0,9;7;3;5;4,9;7;3;5;4
159,0,9;7;3;5;1,9;7;3;5
160,0,6;2;2;9;2;4;1;2,6;2;2;9;2;4;1
161,0,6;2;2;9;2;4;1,6;2;2;9;2;4;1
