parent,child,weight
internal_14,internal_15,6.204648017883301
internal_14,internal_16,0.5001115798950195
internal_15,59,7.01851749420166
internal_15,120,7.01851749420166
internal_16,71,12.723053932189941
internal_16,internal_17,0.3889341354370117
internal_17,internal_18,2.3065195083618164
internal_17,internal_22,2.8397693634033203
internal_18,126,10.027600288391113
internal_18,internal_19,5.33605432510376
internal_19,internal_20,1.6664206981658936
internal_19,105,4.6915459632873535
internal_20,internal_21,0.9968218803405762
internal_20,108,3.02512526512146
internal_21,150,2.028303384780884
internal_21,102,2.028303384780884
internal_22,43,9.49435043334961
internal_22,internal_23,2.0089211463928223
internal_23,157,7.485429286956787
internal_23,internal_24,1.4251799583435059
internal_24,internal_25,2.6467831134796143
internal_24,internal_26,3.7147555351257324
internal_25,86,3.413466215133667
internal_25,87,3.413466215133667
internal_26,115,2.345493793487549
internal_26,141,2.345493793487549
-1,internal_14,3.529404878616333
