step,neg_log_likelihood
0,272.1372375488281
1,247.9048614501953
2,227.69613647460938
3,214.04293823242188
4,201.0293731689453
5,192.3338165283203
6,192.3338165283203
7,191.75421142578125
8,191.18051147460938
9,190.61668395996094
10,190.06149291992188
11,189.5137939453125
12,188.97412109375
13,188.44300842285156
14,187.92031860351562
15,187.40548706054688
16,186.89837646484375
17,186.39918518066406
18,185.9079132080078
19,185.42445373535156
20,184.94863891601562
21,184.48028564453125
22,184.01942443847656
23,183.56591796875
24,183.1197967529297
25,182.6808624267578
26,182.2489471435547
27,181.82398986816406
28,181.4058380126953
29,180.994384765625
30,180.58944702148438
31,180.1909637451172
32,179.79867553710938
33,179.41259765625
34,179.0325927734375
35,178.65841674804688
36,178.28990173339844
37,177.92706298828125
38,177.56971740722656
39,177.21778869628906
40,176.87120056152344
41,176.52972412109375
42,176.1934356689453
43,175.86224365234375
44,175.5360565185547
45,175.21484375
46,174.89845275878906
47,174.58689880371094
48,174.2801055908203
49,173.97799682617188
50,173.6805877685547
51,173.38772583007812
52,173.09945678710938
53,172.815673828125
54,172.53631591796875
55,172.26138305664062
56,171.99081420898438
57,171.7245635986328
58,171.46250915527344
59,171.20469665527344
60,170.95111083984375
61,170.7015838623047
62,170.4562225341797
63,170.21493530273438
64,169.97767639160156
65,169.7445068359375
66,169.51527404785156
67,169.29000854492188
68,169.06871032714844
69,168.851318359375
70,168.6377716064453
71,168.4281005859375
72,168.22225952148438
73,168.02015686035156
74,167.82191467285156
75,167.62733459472656
76,167.43641662597656
77,167.2491455078125
78,167.06546020507812
79,166.88528442382812
80,166.70855712890625
81,166.53529357910156
82,166.3654022216797
83,166.19876098632812
84,166.035400390625
85,165.87515258789062
86,165.71798706054688
87,165.5639190673828
88,165.4126739501953
89,165.2642822265625
90,165.11865234375
91,164.97576904296875
92,164.83543395996094
93,164.697509765625
94,164.5620880126953
95,164.4290008544922
96,164.29808044433594
97,164.16932678222656
98,164.04257202148438
99,163.91786193847656
100,163.7949676513672
101,163.67384338378906
102,163.554443359375
103,163.4366455078125
104,163.32041931152344
105,163.2056121826172
106,163.0921630859375
